СТИК.461531.001-01 (эталон) : Блок навигации и посадки ИРК-2-21 : 

"Тип объекта";"Обозначение";"Наименование";"Версия";"Количество";"Ед.изм.";"Тип";"Источник";"Стандартное";"Состояние";"Основная ед.изм.";"Код 1";"Код 2"
"Версия изделия : Деталь";"LT M673-P2R1-25 ф. ""OSRAM""";"Светодиод";"";"5.00";"Штука";"Деталь";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"EHF-105-01-L-D";"Вилка";"";"1.00";"Штука";"Деталь";"Не известно";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.734611.008";"Опора";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.734611.009";"Опора";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"СТИК.734611.010";"Опора";"";"1.00";"Штука";"Деталь";"Изготовляемое";"";"В разработке";"Штука";"";""
"Версия изделия : Деталь";"SMPM-KWB2";"Контакт";"";"2.00";"Штука";"Деталь";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Материал";"ТУТнг-5/2,5 ТУ 2247-011-79523310-2006";"Трубка термоусаживающаяся";"";"0.06";"метр";"Материал";"Не известно";"Да";"В разработке";"метр";"";""
"Версия изделия : Материал";"TFlex-405";"Кабель";"";"2.00";"Штука";"Материал";"Не известно";"Да";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Shengyi S1170-1-35-0,3 318,83 x 217,333 мм";"Стеклотекстолит фольгированный";"";"2.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Shengyi S1170-2-35-0,18 318,83 x 217,333 мм";"Стеклотекстолит фольгированный";"";"1.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Dupont AP9131 2-35-0,1 318,83 x 217,333 мм";"Полиимид фольгированный";"";"2.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Shengyi S0701-1080-0,075 318,83 x 217,333 мм";"Стеклоткань прокладочная";"";"4.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Shengyi S0701-106-0,05 318,83 x 217,333 мм";"Стеклоткань прокладочная";"";"8.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
"Версия изделия : Материал";"Dupont FR0210 0,075 мм 318,83 х 217,333 мм";"Полиимид защитный на клею";"";"4.00";"Штука";"Материал";"Покупное";"";"В разработке";"Штука";"";""
